,Author Name,Min CoAuthors,max CoAuthors,Average no of CoAuthors,Median CoAuthors
57095,roger c. schank,1,5,2.2,2.0
57096,roger c. wood,3,3,3.0,3.0
57097,roger calantone,3,3,3.0,3.0
57098,roger clarke,1,5,2.25,1.5
57099,roger crawfis,2,4,2.8,3.0
57100,roger cummings,1,1,1.0,1.0
57101,roger d. boyle,2,3,2.5,2.5
57102,roger d. chamberlain,2,3,2.2,2.0
57103,roger d. hersch,1,2,1.5714285,2.0
57104,roger d. hibberd,3,3,3.0,3.0
57105,roger d. maddux,1,1,1.0,1.0
57106,roger d. phillips,1,1,1.0,1.0
57107,roger d. quinn,4,4,4.0,4.0
57108,roger d. theodos,1,1,1.0,1.0
57109,roger duke,1,7,2.5714285,2.0
57110,roger e. cooley,2,2,2.0,2.0
57111,roger england,4,4,4.0,4.0
57112,roger evans,3,3,3.0,3.0
57113,roger f. crew,2,4,3.0,3.0
57114,roger f. woods,3,3,3.0,3.0
57115,roger faulkner,2,2,2.0,2.0
57116,roger fawcett,3,3,3.0,3.0
57117,roger ferguson,3,3,3.0,3.0
57118,roger fleming,3,3,3.0,3.0
57119,roger fletcher,1,2,1.5,1.5
57120,roger g. dear,2,2,2.0,2.0
57121,roger g. grimes,3,3,3.0,3.0
57122,roger gallion,4,4,4.0,4.0
57123,roger goff,2,2,2.0,2.0
57124,roger guir,1,1,1.0,1.0
57125,roger günthör,1,1,1.0,1.0
57126,roger h. brown,9,9,9.0,9.0
57127,roger h. l. chiang,3,4,3.5,3.5
57128,roger h. lang,3,3,3.0,3.0
57129,roger hale,1,3,2.0,2.0
57130,roger hanes,4,4,4.0,4.0
57131,roger harris,1,1,1.0,1.0
57132,roger howe,3,3,3.0,3.0
57133,roger j. green,3,3,3.0,3.0
57134,roger j. malcolm,3,3,3.0,3.0
57135,roger j. webster,1,1,1.0,1.0
57136,roger j.-b. wets,2,4,2.2857144,2.0
57137,roger jambor,4,4,4.0,4.0
57138,roger k. debry,2,2,2.0,2.0
57139,roger k. e. andersson,1,1,1.0,1.0
57140,roger k. moore,1,4,2.3333333,2.0
57141,roger k. shultz,3,3,3.0,3.0
57142,roger k. w. hui,2,3,2.5,2.5
57143,roger kerr,3,3,3.0,3.0
57144,roger king,2,5,2.7142856,2.0
57145,roger l. adema,2,2,2.0,2.0
57146,roger l. haskin,4,4,4.0,4.0
57147,roger l. hayen,3,3,3.0,3.0
57148,roger l. tobin,1,5,3.0,3.0
57149,roger l. wainwright,2,2,2.0,2.0
57150,roger labahn,1,1,1.0,1.0
57151,roger lea,2,2,2.0,2.0
57152,roger lecomte,7,7,7.0,7.0
57153,roger lindell,8,8,8.0,8.0
57154,roger lippert,3,3,3.0,3.0
57155,roger m. goodall,2,2,2.0,2.0
57156,roger m. hoffer,3,3,3.0,3.0
57157,roger m. kerr,1,2,1.5,1.5
57158,roger m. needham,1,8,3.5,2.5
57159,roger mcgrath jr.,2,2,2.0,2.0
57160,roger mchaney,1,1,1.0,1.0
57161,roger mohr,1,3,2.4,2.5
57162,roger munck-fairwood,2,6,4.0,4.0
57163,roger osmond,1,1,1.0,1.0
57164,roger p. ang,2,2,2.0,2.0
57165,roger p. knott,2,2,2.0,2.0
57166,roger p. kovach,1,1,1.0,1.0
57167,roger penrose,2,2,2.0,2.0
57168,roger pissard-gibollet,3,3,3.0,3.0
57169,roger price,1,1,1.0,1.0
57170,roger r. fulton,5,5,5.0,5.0
57171,roger reynaud,4,4,4.0,4.0
57172,roger s. barga,2,2,2.0,2.0
57173,roger s. cheng,2,2,2.0,2.0
57174,roger s. chin,2,2,2.0,2.0
57175,roger s. fager,2,3,2.5,2.5
57176,roger s. maull,3,3,3.0,3.0
57177,roger s. scowen,1,1,1.0,1.0
57178,roger savinelli,5,5,5.0,5.0
57179,roger sessions,7,7,7.0,7.0
57180,roger t. hartley,2,2,2.0,2.0
57181,roger tagg,2,2,2.0,2.0
57182,roger tomlin,1,1,1.0,1.0
57183,roger turner,10,10,10.0,10.0
57184,roger villemaire,2,2,2.0,2.0
57185,roger w. abernathy,2,2,2.0,2.0
57186,roger w. brockett,2,3,2.6666667,3.0
57187,roger w. ehrich,2,2,2.0,2.0
57188,roger w. harris,1,1,1.0,1.0
57189,roger w. hockney,1,15,6.0,2.0
57190,roger w. johnson,4,4,4.0,4.0
57191,roger w. strassburg,6,6,6.0,6.0
57192,roger w. webster,3,3,3.0,3.0
57193,roger wagner,2,2,2.0,2.0
57194,roger waxler,1,1,1.0,1.0
57195,roger webb,2,2,2.0,2.0
57196,roger y. tsai,2,2,2.0,2.0
57197,rogerio silveira,3,3,3.0,3.0
57198,rogier h. h. wester,4,4,4.0,4.0
57199,rogério carapuça,2,2,2.0,2.0
57200,rogério de lemos,3,3,3.0,3.0
57201,rogério drummond,2,2,2.0,2.0
57202,rohan hemasinha,3,3,3.0,3.0
57203,rohan jayasuriya,1,1,1.0,1.0
57204,rohini gupta,7,7,7.0,7.0
57205,rohini k. srihari,1,2,1.3333334,1.0
57206,rohit chandra,3,3,3.0,3.0
57207,rohit kapur,4,4,4.0,4.0
57208,rohit parikh,1,1,1.0,1.0
57209,rohit ramaswamy,2,2,2.0,2.0
57210,rois benassi,4,4,4.0,4.0
57211,rok sosic,2,2,2.0,2.0
57212,rokia missaoui,2,3,2.8,3.0
57213,rokuya ishii,1,1,1.0,1.0
57214,roland a. sweet,1,5,3.6666667,5.0
57215,roland anderson,1,1,1.0,1.0
57216,roland balter,6,15,10.5,10.5
57217,roland berling,3,3,3.0,3.0
57218,roland carl backhouse,2,6,3.3333333,2.0
57219,roland chapuis,4,4,4.0,4.0
57220,roland claaßen,3,3,3.0,3.0
57221,roland conybeare,4,4,4.0,4.0
57222,roland d. weill,3,3,3.0,3.0
57223,roland dietrich,1,2,1.5,1.5
57224,roland dietz,3,3,3.0,3.0
57225,roland e. a. schelasin,2,2,2.0,2.0
57226,roland e. dolle,3,3,3.0,3.0
57227,roland e. goossens,5,5,5.0,5.0
57228,roland f. marslin,3,4,3.5,3.5
57229,roland frank,3,3,3.0,3.0
57230,roland g. h. dennert,3,3,3.0,3.0
57231,roland g. ouellette,12,12,12.0,12.0
57232,roland g. wilson,4,4,4.0,4.0
57233,roland geibel,1,1,1.0,1.0
57234,roland glowinski,4,7,5.0,4.0
57235,roland grafe,1,1,1.0,1.0
57236,roland groz,2,2,2.0,2.0
57237,roland h. c. yap,1,4,3.0,3.0
57238,roland h. lamberson,2,2,2.0,2.0
57239,roland h. pesch,1,1,1.0,1.0
57240,roland h. untch,3,3,3.0,3.0
57241,roland hausser,1,1,1.0,1.0
57242,roland hillenbrand,3,3,3.0,3.0
57243,roland hofstetter,2,3,2.5,2.5
57244,roland häggkvist,1,2,1.6666666,2.0
57245,roland hüber,1,1,1.0,1.0
57246,roland j. baddeley,3,3,3.0,3.0
57247,roland j. stolfa,1,1,1.0,1.0
57248,roland kaldich,1,1,1.0,1.0
57249,roland karlsson,2,3,2.25,2.0
57250,roland klinke,1,1,1.0,1.0
57251,roland knof,3,3,3.0,3.0
57252,roland kortsik,1,1,1.0,1.0
57253,roland kubica,6,6,6.0,6.0
57254,roland kuhn,2,2,2.0,2.0
57255,roland l. lee,3,3,3.0,3.0
57256,roland laifer,2,2,2.0,2.0
57257,roland lepold,1,1,1.0,1.0
57258,roland lim,2,2,2.0,2.0
57259,roland longchamp,3,3,3.0,3.0
57260,roland marbot,4,4,4.0,4.0
57261,roland mckenney,6,6,6.0,6.0
57262,roland müller,1,1,1.0,1.0
57263,roland n. bol,1,3,1.8333334,2.0
57264,roland n. ibbett,2,2,2.0,2.0
57265,roland nehl,1,1,1.0,1.0
57266,roland olsson,1,1,1.0,1.0
57267,roland paterson-jones,2,2,2.0,2.0
57268,roland prajoux,2,2,2.0,2.0
57269,roland priemer,2,2,2.0,2.0
57270,roland r. mielke,3,3,3.0,3.0
57271,roland r. wagner,3,4,3.3333333,3.0
57272,roland raff,1,1,1.0,1.0
57273,roland rössler,2,2,2.0,2.0
57274,roland rühl,2,7,5.0,6.0
57275,roland rühle,3,3,3.0,3.0
57276,roland sawinski,1,1,1.0,1.0
57277,roland schmiedel,1,1,1.0,1.0
57278,roland schultze,1,1,1.0,1.0
57279,roland schweitzer,4,4,4.0,4.0
57280,roland schützig,1,1,1.0,1.0
57281,roland seiffert,1,2,1.3333334,1.0
57282,roland siegwart,3,3,3.0,3.0
57283,roland sottek,1,1,1.0,1.0
57284,roland strobel,3,3,3.0,3.0
57285,roland sussex,3,3,3.0,3.0
57286,roland t. chin,2,4,2.4,2.0
57287,roland t. mittermeir,2,7,4.0,3.0
57288,roland traunmüller,2,3,2.3333333,2.0
57289,roland vollmar,2,3,2.25,2.0
57290,roland w. freund,1,3,2.0,2.0
57291,roland w. scholz,2,2,2.0,2.0
57292,roland wagner-döbler,1,1,1.0,1.0
57293,roland weigel,1,1,1.0,1.0
57294,roland zimbel,1,1,1.0,1.0
57295,roland zimmerling,1,1,1.0,1.0
57296,roland zink,5,5,5.0,5.0
57297,roland zito-wolf,1,3,1.8,2.0
57298,rolando a. carrasco,2,2,2.0,2.0
57299,rolando cavazos-cadena,1,1,1.0,1.0
57300,rolando chuaqui,2,2,2.0,2.0
57301,rolando i. cruz,3,3,3.0,3.0
57302,rolando pomareda,3,3,3.0,3.0
57303,rolands e. ezers,4,4,4.0,4.0
57304,roldan pozo,2,3,2.5,2.5
57305,rolf a. de by,3,3,3.0,3.0
57306,rolf a. zwaan,2,2,2.0,2.0
57307,rolf adams,1,1,1.0,1.0
57308,rolf b. haugen,2,2,2.0,2.0
57309,rolf backofen,1,3,2.0,2.0
57310,rolf bendl,1,1,1.0,1.0
57311,rolf carlson,1,8,2.8333333,2.0
57312,rolf drechsler,3,3,3.0,3.0
57313,rolf ebert,1,1,1.0,1.0
57314,rolf eckmiller,1,1,1.0,1.0
57315,rolf effert,4,4,4.0,4.0
57316,rolf eggenberger,5,5,5.0,5.0
57317,rolf engelbrecht,3,3,3.0,3.0
57318,rolf ernst,2,4,2.4285715,2.0
57319,rolf fischer,2,2,2.0,2.0
57320,rolf floren,1,1,1.0,1.0
57321,rolf g. henzler,2,2,2.0,2.0
57322,rolf g. karlsson,3,3,3.0,3.0
57323,rolf g. ortmann,3,3,3.0,3.0
57324,rolf gerdes,2,2,2.0,2.0
57325,rolf gibbert,1,1,1.0,1.0
57326,rolf gluth,1,1,1.0,1.0
57327,rolf grützner,1,1,1.0,1.0
57328,rolf h. möhring,1,3,2.0,2.0
57329,rolf haferkamp,1,1,1.0,1.0
57330,rolf hansen,4,4,4.0,4.0
57331,rolf hebenstreit,1,1,1.0,1.0
57332,rolf hedtke,1,1,1.0,1.0
57333,rolf hendrik van lengen,1,3,2.0,2.0
57334,rolf hennicker,1,3,1.8333334,2.0
57335,rolf hoffmann,3,3,3.0,3.0
57336,rolf ingold,2,2,2.0,2.0
57337,rolf isermann,1,2,1.75,2.0
57338,rolf johannesson,2,2,2.0,2.0
57339,rolf johansson,1,1,1.0,1.0
57340,rolf klauer,1,1,1.0,1.0
57341,rolf klein,1,4,2.1111112000000003,2.0
57342,rolf krieger,2,4,3.0,3.0
57343,rolf kurt truninger,1,1,1.0,1.0
57344,rolf käckenhoff,3,3,3.0,3.0
57345,rolf larsen,7,7,7.0,7.0
57346,rolf liebe,1,1,1.0,1.0
57347,rolf linnarsson,1,1,1.0,1.0
57348,rolf lunheim,2,2,2.0,2.0
57349,rolf mayer,1,1,1.0,1.0
57350,rolf monnerjahn,1,2,1.5,1.5
57351,rolf müller,2,2,2.0,2.0
57352,rolf niedermeier,2,2,2.0,2.0
57353,rolf nossum,2,2,2.0,2.0
57354,rolf oberliesen,4,4,4.0,4.0
57355,rolf oppliger,3,3,3.0,3.0
57356,rolf p. loos,4,4,4.0,4.0
57357,rolf p. würtz,3,7,5.0,5.0
57358,rolf paul,2,2,2.0,2.0
57359,rolf pfeifer,2,4,3.0,3.0
57360,rolf plötzner,2,2,2.0,2.0
57361,rolf rabenseifner,2,2,2.0,2.0
57362,rolf richberg,2,2,2.0,2.0
57363,rolf s. rees,1,3,2.0,2.0
57364,rolf sander,1,1,1.0,1.0
57365,rolf schassberger,2,2,2.0,2.0
57366,rolf schaumann,2,3,2.5,2.5
57367,rolf schröder,1,1,1.0,1.0
57368,rolf schulmeister,5,5,5.0,5.0
57369,rolf schuster,3,3,3.0,3.0
57370,rolf schwedhelm,1,1,1.0,1.0
57371,rolf socher,1,1,1.0,1.0
57372,rolf socher-ambrosius,1,1,1.0,1.0
57373,rolf sundblad,40,40,40.0,40.0
57374,rolf unbehauen,2,3,2.1333333999999997,2.0
57375,rolf vautz,3,3,3.0,3.0
57376,rolf walter,4,4,4.0,4.0
57377,rolf wanka,3,3,3.0,3.0
57378,rolf wiehagen,2,4,3.0,3.0
57379,rolf wilkens,2,2,2.0,2.0
57380,rolf winkelmann,1,1,1.0,1.0
57381,rolf wohed,8,8,8.0,8.0
57382,rolf-dieter recknagel,3,3,3.0,3.0
57383,rolf-einar grini,3,3,3.0,3.0
57384,rolf-eugen könig,1,1,1.0,1.0
57385,rolfe tomlinson,6,6,6.0,6.0
57386,rollie sing,10,10,10.0,10.0
57387,rollin v. weeks,2,2,2.0,2.0
57388,rom langerak,1,3,2.3333333,3.0
57389,romain gengler,1,3,1.6666666,1.0
57390,romain murenzi,4,4,4.0,4.0
57391,romain zeiliger,3,3,3.0,3.0
57392,roman cunis,1,3,1.7142857,2.0
57393,roman e. glazman,1,1,1.0,1.0
57394,roman georg arens,2,2,2.0,2.0
57395,roman hovorka,3,8,5.5,5.5
57396,roman kalný,2,2,2.0,2.0
57397,roman kossak,2,3,2.6666667,3.0
57398,roman koutny,2,2,2.0,2.0
57399,roman kuc,1,2,1.75,2.0
57400,roman kuznar,3,3,3.0,3.0
57401,roman m. jansen-winkeln,3,5,4.0,4.0
57402,roman m. palenichka,2,2,2.0,2.0
57403,roman maeder,1,3,2.0,2.0
57404,roman matzke,1,1,1.0,1.0
57405,roman murawski,1,1,1.0,1.0
57406,roman nedela,1,1,1.0,1.0
57407,roman reith,1,1,1.0,1.0
57408,roman rozin,2,4,3.0,3.0
57409,roman slowinski,1,5,2.25,1.5
57410,roman smolensky,1,3,2.0,2.0
57411,roman t. mysak,2,2,2.0,2.0
57412,roman tirler,3,3,3.0,3.0
57413,roman tomashitz,1,1,1.0,1.0
57414,roman trobec,3,3,3.0,3.0
57415,roman v. dmytryshyn,1,1,1.0,1.0
57416,roman zajcew,11,11,11.0,11.0
57417,romano fantacci,1,2,1.6666666,2.0
57418,romano p. valussi,2,2,2.0,2.0
57419,romano scozzafava,3,3,3.0,3.0
57420,romas aleliunas,2,2,2.0,2.0
57421,romeo ortega,1,3,2.1666667,2.0
57422,romesh saigal,1,3,2.0,2.0
57423,romesh wadhwani,1,1,1.0,1.0
57424,romilly c. gregory,6,6,6.0,6.0
57425,romuald jagielski,1,1,1.0,1.0
57426,romualdo picco,4,5,4.5,4.5
57427,román hermida,4,5,4.5,4.5
57428,ron addie,2,2,2.0,2.0
57429,ron adler,2,2,2.0,2.0
57430,ron aharoni,1,2,1.3333334,1.0
57431,ron barber,7,9,8.0,8.0
57432,ron bartlett,2,2,2.0,2.0
57433,ron bell,2,2,2.0,2.0
57434,ron belpedio,1,1,1.0,1.0
57435,ron belt,5,5,5.0,5.0
57436,ron ben-natan,2,2,2.0,2.0
57437,ron bourassa,3,3,3.0,3.0
57438,ron brown,1,1,1.0,1.0
57439,ron cocchi,4,4,4.0,4.0
57440,ron cytron,2,5,3.0,2.5
57441,ron d. appel,4,6,5.0,5.0
57442,ron d. gottesman,9,9,9.0,9.0
57443,ron davis,3,3,3.0,3.0
57444,ron diaz,6,6,6.0,6.0
57445,ron frederick,5,5,5.0,5.0
57446,ron goldman 0002,2,2,2.0,2.0
57447,ron gomes,2,2,2.0,2.0
57448,ron griebenow,5,5,5.0,5.0
57449,ron hackler,2,2,2.0,2.0
57450,ron hogervorst,3,3,3.0,3.0
57451,ron holyer,4,4,4.0,4.0
57452,ron holzman,3,3,3.0,3.0
57453,ron john patton,2,2,2.0,2.0
57454,ron johnson,8,8,8.0,8.0
57455,ron keesing,3,4,3.5,3.5
57456,ron kikinis,6,6,6.0,6.0
57457,ron kimmel,2,5,3.5,3.5
57458,ron kohavi,2,2,2.0,2.0
57459,ron koymans,1,1,1.0,1.0
57460,ron kuivila,2,2,2.0,2.0
57461,ron l. shepard,3,3,3.0,3.0
57462,ron l. szabo,4,4,4.0,4.0
57463,ron m. roth,1,2,1.6666666,2.0
57464,ron macneil,1,1,1.0,1.0
57465,ron malyan,4,4,4.0,4.0
57466,ron mcclamrock,1,1,1.0,1.0
57467,ron mcfadyen,3,3,3.0,3.0
57468,ron musick,1,3,2.0,2.0
57469,ron obermarck,3,7,4.3333335,3.0
57470,ron oliver,1,1,1.0,1.0
57471,ron p. podhorodeski,2,3,2.5,2.5
57472,ron peters,2,2,2.0,2.0
57473,ron rymon,1,3,1.6666666,1.0
57474,ron s. dembo,1,1,1.0,1.0
57475,ron s. drafz,3,3,3.0,3.0
57476,ron sacks-davis,3,6,3.5555556000000004,3.0
57477,ron sass,4,4,4.0,4.0
57478,ron shamir,1,3,2.1666667,2.0
57479,ron shonkwiler,1,3,1.8,1.0
57480,ron sun,1,2,1.2,1.0
57481,ron unger,2,2,2.0,2.0
57482,ron van der meyden,1,2,1.5,1.5
57483,ron van teylingen,5,5,5.0,5.0
57484,ron w. daniel,2,2,2.0,2.0
57485,ron w. pulleyblank,4,4,4.0,4.0
57486,ron waid,2,2,2.0,2.0
57487,ron weber,2,2,2.0,2.0
57488,ron wehrens,4,4,4.0,4.0
57489,ron white,4,4,4.0,4.0
57490,ron wilks,3,3,3.0,3.0
57491,ron y. pinter,2,7,3.4,3.0
57492,ron yu,3,3,3.0,3.0
57493,ron zahavi,4,4,4.0,4.0
57494,ronald a. cole,2,5,3.5,3.0
57495,ronald a. devore,3,4,3.5,3.5
57496,ronald a. iltis,2,2,2.0,2.0
57497,ronald a. mann,1,1,1.0,1.0
57498,ronald a. olsson,1,9,3.5555556000000004,2.0
57499,ronald a. rohrer,2,4,2.5555556,2.0
57500,ronald a. sumida,2,2,2.0,2.0
57501,ronald a. van schijndel,3,3,3.0,3.0
57502,ronald armstrong,3,3,3.0,3.0
57503,ronald azuma,1,1,1.0,1.0
57504,ronald b. byrnes,4,4,4.0,4.0
57505,ronald b. morgan,2,2,2.0,2.0
57506,ronald b. rekowski,4,4,4.0,4.0
57507,ronald b. smith,1,1,1.0,1.0
57508,ronald b. stewart,2,2,2.0,2.0
57509,ronald b. wilkes,1,3,2.0,2.0
57510,ronald baecker,3,4,3.3333333,3.0
57511,ronald bogaschewsky,1,2,1.5,1.5
57512,ronald c. arkin,1,6,3.25,3.0
57513,ronald c. linton,1,1,1.0,1.0
57514,ronald c. mullin,2,4,3.1666667,3.0
57515,ronald c. n. koch,3,3,3.0,3.0
57516,ronald c. unrau,4,4,4.0,4.0
57517,ronald c. van wuijtswinkel,2,2,2.0,2.0
57518,ronald chung,2,2,2.0,2.0
57519,ronald collett,1,1,1.0,1.0
57520,ronald cools,2,3,2.5,2.5
57521,ronald cramer,2,2,2.0,2.0
57522,ronald d. armstrong,2,2,2.0,2.0
57523,ronald d. blanton,2,2,2.0,2.0
57524,ronald d. bleed,1,1,1.0,1.0
57525,ronald d. degroat,2,4,2.8333333,2.5
57526,ronald d. doctor,1,1,1.0,1.0
57527,ronald d. dutton,1,3,2.0,2.0
57528,ronald d. fellman,3,3,3.0,3.0
57529,ronald d. hindmarsh,1,1,1.0,1.0
57530,ronald d. kaye,4,4,4.0,4.0
57531,ronald d. lear,1,1,1.0,1.0
57532,ronald d. williams,2,3,2.5,2.5
57533,ronald e. anderson,1,4,2.5,2.5
57534,ronald e. barks,1,1,1.0,1.0
57535,ronald e. burge,3,3,3.0,3.0
57536,ronald e. clark,2,2,2.0,2.0
57537,ronald e. nusenoff,2,2,2.0,2.0
57538,ronald e. papritz,2,2,2.0,2.0
57539,ronald e. prather,1,2,1.3333334,1.0
57540,ronald e. rice,2,4,2.6666667,2.0
57541,ronald e. van aken,2,2,2.0,2.0
57542,ronald e. vidmar,5,5,5.0,5.0
57543,ronald f. boisvert,1,1,1.0,1.0
57544,ronald f. demara,2,3,2.1666667,2.0
57545,ronald f. green,2,2,2.0,2.0
57546,ronald fagin,1,3,2.2,2.0
57547,ronald fechter,2,2,2.0,2.0
57548,ronald fernandes,2,2,2.0,2.0
57549,ronald g. askin,3,3,3.0,3.0
57550,ronald g. benson,2,2,2.0,2.0
57551,ronald g. harber,3,3,3.0,3.0
57552,ronald g. ragsdale,2,2,2.0,2.0
57553,ronald g. williamson,10,10,10.0,10.0
57554,ronald geenens,2,2,2.0,2.0
57555,ronald gulezian,1,1,1.0,1.0
57556,ronald h. nowaczyk,3,3,3.0,3.0
57557,ronald h. perrott,2,2,2.0,2.0
57558,ronald h. rasch,1,1,1.0,1.0
57559,ronald h. silverman,1,1,1.0,1.0
57560,ronald hahm,4,4,4.0,4.0
57561,ronald huijsman,3,3,3.0,3.0
57562,ronald hübner,1,1,1.0,1.0
57563,ronald i. becker,3,3,3.0,3.0
57564,ronald i. greenberg,2,3,2.25,2.0
57565,ronald j. adrian,3,3,3.0,3.0
57566,ronald j. brachman,1,9,3.3333333,2.5
57567,ronald j. gould,1,3,2.0,2.0
57568,ronald j. holyer,4,4,4.0,4.0
57569,ronald j. jaszczak,3,4,3.5,3.5
57570,ronald j. kantor,2,2,2.0,2.0
57571,ronald j. kennett,2,2,2.0,2.0
57572,ronald j. lomax,9,9,9.0,9.0
57573,ronald j. macgregor,1,1,1.0,1.0
57574,ronald j. norman,3,6,4.5,4.5
57575,ronald j. steriti,2,2,2.0,2.0
57576,ronald j. vetter,2,3,2.6666667,3.0
57577,ronald j. watro,2,2,2.0,2.0
57578,ronald j. williams,2,2,2.0,2.0
57579,ronald k. ferguson,1,1,1.0,1.0
57580,ronald k. mcmurdy,2,2,2.0,2.0
57581,ronald klein,5,5,5.0,5.0
57582,ronald kwok,3,5,4.0,4.0
57583,ronald l. allen,3,3,3.0,3.0
57584,ronald l. chrisley,1,1,1.0,1.0
57585,ronald l. dilsavor,2,2,2.0,2.0
57586,ronald l. graham,2,5,2.8,2.0
57587,ronald l. greene,1,1,1.0,1.0
57588,ronald l. racicot,1,1,1.0,1.0
57589,ronald l. rardin,2,4,2.6666667,2.0
57590,ronald l. rivest,1,9,2.6875,2.5
57591,ronald l. thompson,2,3,2.5,2.5
57592,ronald lange,2,2,2.0,2.0
57593,ronald leenes,3,3,3.0,3.0
57594,ronald lumia,4,4,4.0,4.0
57595,ronald m. baecker,3,6,4.3333335,4.0
57596,ronald m. biron,1,1,1.0,1.0
57597,ronald m. hirschorn,3,3,3.0,3.0
57598,ronald m. kaplan,2,2,2.0,2.0
57599,ronald m. lee,1,2,1.5,1.5
57600,ronald m. smith sr.,2,2,2.0,2.0
57601,ronald maier,1,4,2.5,2.5
57602,ronald menich,2,2,2.0,2.0
57603,ronald milde,1,1,1.0,1.0
57604,ronald minnich,1,7,3.3333333,2.0
57605,ronald morrison,3,6,4.0,3.5
57606,ronald n. goldman,2,4,2.5714285,2.0
57607,ronald p. bianchini jr.,2,2,2.0,2.0
57608,ronald p. blanford,1,1,1.0,1.0
57609,ronald paans,1,2,1.5,1.5
57610,ronald parr,3,3,3.0,3.0
57611,ronald perez,2,2,2.0,2.0
57612,ronald peter lesser,6,6,6.0,6.0
57613,ronald pose,2,2,2.0,2.0
57614,ronald prescott loui,1,4,2.0,1.0
57615,ronald r. beck,3,3,3.0,3.0
57616,ronald r. coifman,4,4,4.0,4.0
57617,ronald r. willis,3,3,3.0,3.0
57618,ronald r. yager,1,4,1.68,1.0
57619,ronald rosenfeld,3,6,4.0,3.5
57620,ronald rousseau 0001,1,2,1.6666666,2.0
57621,ronald roussou,2,2,2.0,2.0
57622,ronald s. casselman,2,2,2.0,2.0
57623,ronald s. fearing,2,2,2.0,2.0
57624,ronald s. gyurcsik,2,3,2.3333333,2.0
57625,ronald s. iseri,1,1,1.0,1.0
57626,ronald s. rudokas,2,2,2.0,2.0
57627,ronald saeijs,2,5,3.5,3.5
57628,ronald saul,2,3,2.5,2.5
57629,ronald scheel,1,1,1.0,1.0
57630,ronald schrooten,3,3,3.0,3.0
57631,ronald schwarz,2,2,2.0,2.0
57632,ronald shonkwiler,3,3,3.0,3.0
57633,ronald t. borchardt,3,3,3.0,3.0
57634,ronald t. crocker,2,2,2.0,2.0
57635,ronald t. kellogg,2,2,2.0,2.0
57636,ronald taylor,5,5,5.0,5.0
57637,ronald v. book,1,2,1.5555556000000001,2.0
57638,ronald v. schmidt,4,4,4.0,4.0
57639,ronald w. broome,2,2,2.0,2.0
57640,ronald w. davis,5,5,5.0,5.0
57641,ronald w. j. meester,2,2,2.0,2.0
57642,ronald w. lodewyck,2,2,2.0,2.0
57643,ronald w. modes,1,1,1.0,1.0
57644,ronald w. p. king,1,1,1.0,1.0
57645,ronald w. schafer,2,4,2.6666667,2.0
57646,ronald w. wolff,1,2,1.5,1.5
57647,ronald w. zweig,1,1,1.0,1.0
57648,ronald waxman,5,5,5.0,5.0
57649,ronan burgess,5,5,5.0,5.0
57650,ronan herlihy,1,1,1.0,1.0
57651,ronan keryell,2,4,3.0,3.0
57652,ronen barzel,2,2,2.0,2.0
57653,ronen basri,1,2,1.5555556000000001,2.0
57654,ronen feldman,3,3,3.0,3.0
57655,ronen i. brafman,3,3,3.0,3.0
57656,rong c. shieh,2,2,2.0,2.0
57657,rong huanzong,3,3,3.0,3.0
57658,rong lin,1,6,2.5555556,2.0
57659,rong n. chang,2,3,2.5,2.5
57660,rong wang,7,9,8.0,8.0
57661,rong yang,3,5,3.5,3.0
57662,rong-chau liu,2,2,2.0,2.0
57663,rong-feng chang,3,3,3.0,3.0
57664,rong-hong jan,1,5,3.0,3.0
57665,rong-huah ju,3,3,3.0,3.0
57666,rong-huan yang,3,3,3.0,3.0
57667,rong-jaye chen,2,3,2.5,2.5
57668,rong-ming chen,2,3,2.5,2.5
57669,rong-si chen,2,2,2.0,2.0
57670,rong-yih chen,2,2,2.0,2.0
57671,rongdong wang,2,2,2.0,2.0
57672,ronghao zhuang,6,6,6.0,6.0
57673,rongken yang,4,12,8.0,8.0
57674,rongtai wang,2,2,2.0,2.0
57675,rongze zhao,2,2,2.0,2.0
57676,roni hardon,2,2,2.0,2.0
57677,roni potasman,2,4,3.0,3.0
57678,roni yagel,1,5,2.7142856,3.0
57679,ronitt rubinfeld,2,6,3.3333333,2.5
57680,ronni rosenberg,1,1,1.0,1.0
57681,ronnie l. killough,2,2,2.0,2.0
57682,ronnie w. smith,2,4,2.6666667,2.0
57683,ronny aboudi,2,2,2.0,2.0
57684,ronny bjones,3,3,3.0,3.0
57685,ronny blomme,5,5,5.0,5.0
57686,ronny meir,1,1,1.0,1.0
57687,rony holter,1,1,1.0,1.0
57688,rony swain,1,1,1.0,1.0
57689,roong-ko doong,2,2,2.0,2.0
57690,roopak shah,5,8,6.5,6.5
57691,roope kaivola,2,2,2.0,2.0
57692,rory a. cooper,1,1,1.0,1.0
57693,rory d. gray,1,1,1.0,1.0
57694,rory o'moore,4,9,6.5,6.5
57695,rory stuart,2,2,2.0,2.0
57696,ros strens,2,4,3.3333333,4.0
57697,rosa albrizio,4,4,4.0,4.0
57698,rosa lancini,3,3,3.0,3.0
57699,rosa m. badia,2,2,2.0,2.0
57700,rosa m. jiménez,3,3,3.0,3.0
57701,rosa maria vega perez,5,5,5.0,5.0
57702,rosa montalbano,1,1,1.0,1.0
57703,rosa o. reis,2,2,2.0,2.0
