,Author Name,Min CoAuthors,max CoAuthors,Average no of CoAuthors,Median CoAuthors
532,a. p. varvitsiotis,2,2,2.0,2.0
533,a. p. wim böhm,2,4,2.75,3.0
534,a. palma,3,3,3.0,3.0
535,a. pannike,3,3,3.0,3.0
536,a. paoli,4,4,4.0,4.0
537,a. parr,1,1,1.0,1.0
538,a. patris,5,5,5.0,5.0
539,a. pawel wojda,2,2,2.0,2.0
540,a. pecorella,3,3,3.0,3.0
541,a. peirce,4,4,4.0,4.0
542,a. pellow,2,2,2.0,2.0
543,a. perry,7,7,7.0,7.0
544,a. peter allan,3,3,3.0,3.0
545,a. peter johnson,5,8,6.5,6.5
546,a. peters,1,1,1.0,1.0
547,a. philip dawid,3,4,3.5,3.5
548,a. plantec,4,4,4.0,4.0
549,a. polzonetti,5,5,5.0,5.0
550,a. poon,5,5,5.0,5.0
551,a. popescu,3,3,3.0,3.0
552,a. portunato,5,5,5.0,5.0
553,a. prasad sistla,1,3,2.0,2.0
554,a. preciado,4,4,4.0,4.0
555,a. priess,5,5,5.0,5.0
556,a. puccetti,1,1,1.0,1.0
557,a. pujas,3,3,3.0,3.0
558,a. r. bakker,1,4,2.5,2.5
559,a. r. boothroyd,3,3,3.0,3.0
560,a. r. clare,2,2,2.0,2.0
561,a. r. filarey,5,5,5.0,5.0
562,a. r. galper,3,3,3.0,3.0
563,a. r. hosseinmostafa,4,4,4.0,4.0
564,a. r. jamali,2,2,2.0,2.0
565,a. r. jorden,9,9,9.0,9.0
566,a. r. khan,3,3,3.0,3.0
567,a. r. m. upton,2,2,2.0,2.0
568,a. r. naseer,8,8,8.0,8.0
569,a. r. reuber,2,2,2.0,2.0
570,a. r. smith,1,1,1.0,1.0
571,a. r. sutherland,2,2,2.0,2.0
572,a. r. venkatachalam,3,3,3.0,3.0
573,a. r. vin'a,4,4,4.0,4.0
574,a. r. warburton,1,1,1.0,1.0
575,a. radisavljevic,2,3,2.5,2.5
576,a. raghunathan,4,4,4.0,4.0
577,a. ragot,2,2,2.0,2.0
578,a. rahim leyman,3,3,3.0,3.0
579,a. rajouani,3,5,4.0,4.0
580,a. ramaprasad,3,3,3.0,3.0
581,a. ramfos,3,3,3.0,3.0
582,a. rapallo,5,5,5.0,5.0
583,a. ratter,4,4,4.0,4.0
584,a. ravi ravindran,2,2,2.0,2.0
585,a. ravindran,2,2,2.0,2.0
586,a. ravishankar rao,2,2,2.0,2.0
587,a. ravitz,7,7,7.0,7.0
588,a. reinsch,4,4,4.0,4.0
589,a. reinthaller,5,5,5.0,5.0
590,a. rey,6,6,6.0,6.0
591,a. ribagorda,3,3,3.0,3.0
592,a. ricci,6,6,6.0,6.0
593,a. riccio,3,3,3.0,3.0
594,a. richard newton,1,4,2.5,2.5
595,a. riegg,2,2,2.0,2.0
596,a. ripoll,12,12,12.0,12.0
597,a. robert calderbank,2,5,3.1111112000000003,3.0
598,a. robert spitzer,2,2,2.0,2.0
599,a. robinson,7,7,7.0,7.0
600,a. robison,2,2,2.0,2.0
601,a. rodriguez,4,7,5.5,5.5
602,a. rodriguez-larralde,4,4,4.0,4.0
603,a. roger hammons jr.,5,5,5.0,5.0
604,a. roger kaye,2,2,2.0,2.0
605,a. ronald kucic,2,2,2.0,2.0
606,a. rouhi,3,3,3.0,3.0
607,a. rudnicki,1,1,1.0,1.0
608,a. russeli,4,4,4.0,4.0
609,a. ruttan,3,3,3.0,3.0
610,a. s. abutaleb,3,3,3.0,3.0
611,a. s. alekseev,3,3,3.0,3.0
612,a. s. andreatos,3,3,3.0,3.0
613,a. s. batrakov,3,3,3.0,3.0
614,a. s. decooninck,3,3,3.0,3.0
615,a. s. deshpande,3,3,3.0,3.0
616,a. s. elfishawy,3,3,3.0,3.0
617,a. s. fokas,2,2,2.0,2.0
618,a. s. grant,3,3,3.0,3.0
619,a. s. kamble,3,3,3.0,3.0
620,a. s. krishnakumar,1,3,2.0,2.0
621,a. s. madhukumar,3,4,3.5,3.5
622,a. s. rao,3,3,3.0,3.0
623,a. s. shalabi,1,1,1.0,1.0
624,a. s. troelstra,1,1,1.0,1.0
625,a. s. umar,4,7,5.5,5.5
626,a. s. vieira,3,3,3.0,3.0
627,a. sadam hedayat,3,3,3.0,3.0
628,a. sahil,5,5,5.0,5.0
629,a. sakamoto,7,7,7.0,7.0
630,a. saleh,2,2,2.0,2.0
631,a. salisch,3,3,3.0,3.0
632,a. salski,1,2,1.5,1.5
633,a. salwa,1,1,1.0,1.0
634,a. sambatakakis,1,1,1.0,1.0
635,a. sankaranarayanan,2,2,2.0,2.0
